"","domain","raw.r","lmeModel.CultSimilarity.Beta","lmeModel.CultSimilarity.logLikelihoodDifference","lmeModel.CultSimilarity.ChiSquared","lmeModel.CultSimilarity.p"
"2","The house","0.383380838045627","0.107806886266668","3","5.93403325849908","0.0148512132437254"
"3","Food and drink","0.466631017684589","0.290387318728451","15","30.2274766432206","3.84227388940488e-08"
"4","Agriculture and vegetation","0.486133187734767","0.213151116728423","8.2","16.4652844749742","4.95490878144369e-05"
"5","Motion","0.278089277106835","0.0554283500224716","0.65","1.30276353402382","0.253709048714779"
"6","Possession","0.360502344775312","0.0783376030448033","1.3","2.5506236574231","0.110250727481791"
"7","Miscellaneous function words","0.408622363193643","0.313492609477514","14","27.679398587715","1.43179440740578e-07"
"8","Clothing and grooming","0.405553996204977","0.164827375451003","4.7","9.33754598155565","0.00224505963296675"
"9","Speech and language","0.41852779350468","0.11367021711386","2.3","4.59325317018033","0.0320980360479678"
"10","The body","0.478476607056521","0.23184641123941","12","24.1937190114745","8.7115927385985e-07"
"11","Sense perception","0.457922822117631","0.111676503239836","4.5","8.92922746295244","0.002806430250093"
"12","Spatial relations","0.46025895646391","0.111880109912875","5.2","10.3096623577758","0.001323354925917"
"13","Emotions and values","0.392353714640467","0.0632433486579331","1.4","2.79816111422849","0.0943724862319959"
"14","Animals","0.372067901435165","0.264685474073151","11","21.134298599557","4.28195197774583e-06"
"15","The physical world","0.525955413520337","0.155342993458631","5.8","11.5509163429044","0.000677158743046858"
"16","Social and political relations","0.494822049835821","0.10210509593245","3.7","7.37768356232573","0.00660381746231457"
"17","Modern world","0.512447189895193","0.153914980757981","6.6","13.1593071550615","0.000286094649648108"
"18","Cognition","0.380303965099792","0.0641061605133843","1.4","2.82264089472801","0.0929433675878246"
"19","Quantity","0.397920304717502","0.13804391183986","2.9","5.70479423694132","0.0169186385127639"
"20","Basic actions and technology","0.382812387947808","0.06996425463121","1.6","3.2102782734712","0.0731770368932255"
"21","Kinship","0.499056161332222","0.254090436342097","5.1","10.2966774933989","0.00133269946882305"
"22","Time","0.390331238301894","0.267043096439542","8.6","17.2131381637782","3.34117680781285e-05"
